timestamp,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,acc_x,acc_y,acc_z,w_yaw,w_pitch,w_roll,gesture_id,user_id,trial_id,label,source
0.016683001,-0.29462868,0.2737754,0.14715362,0.8877506,0.30539867,0.33616334,-0.074997574,0.125,0.84615386,-0.56,-0.037836563,0.40319467,0.15813005,12,D2,1,0,g12_D2_t01.mat
0.033328004,-0.2947596,0.27489036,0.14774339,0.8876135,0.30712652,0.3352104,-0.07382093,0.083333336,0.84615386,-0.6,-0.122485034,0.43984658,0.2235799,12,D2,1,0,g12_D2_t01.mat
0.049997002,-0.29519853,0.2759452,0.14818564,0.88751346,0.30852574,0.33403894,-0.07449685,0.041666668,0.8076923,-0.6,-0.13382968,0.4485732,0.30473775,12,D2,1,0,g12_D2_t01.mat
0.066665,-0.2948743,0.27744627,0.14871962,0.88694745,0.31278732,0.3312904,-0.0757304,-0.041666668,0.7692308,-0.6,0.053793233,0.402322,0.3841502,12,D2,1,0,g12_D2_t01.mat
0.083333,-0.2939756,0.27823016,0.14933679,0.8855547,0.3172331,0.3320917,-0.06979358,0.125,0.7692308,-0.56,0.17858429,0.35432544,0.4539634,12,D2,1,0,g12_D2_t01.mat
0.10000001,-0.29380506,0.27971914,0.14927383,0.88396853,0.32146525,0.3331727,-0.06523677,0.20833333,0.7692308,-0.6,0.07124653,0.33861747,0.23056124,12,D2,1,0,g12_D2_t01.mat
0.116672,-0.2944687,0.2817663,0.15067784,0.882846,0.32515854,0.33294705,-0.06325385,0.20833333,0.7307692,-0.6,-0.023873925,0.36392477,0.19216399,12,D2,1,0,g12_D2_t01.mat
0.133337,-0.29281706,0.28233123,0.15055618,0.8816356,0.3302133,0.33172774,-0.060287207,0.16666667,0.6923077,-0.56,-0.11986704,0.3185462,0.24365121,12,D2,1,0,g12_D2_t01.mat
0.15000601,-0.29399016,0.28374836,0.15216325,0.880933,0.33428115,0.33003324,-0.05736872,0.20833333,0.61538464,-0.56,-0.17833558,0.23477039,0.41469347,12,D2,1,0,g12_D2_t01.mat
0.166691,-0.29305142,0.28518143,0.1533662,0.88076466,0.33738443,0.32798052,-0.05342399,0.20833333,0.5769231,-0.52,-0.20189752,0.1352866,0.5167952,12,D2,1,0,g12_D2_t01.mat
0.183344,-0.29203928,0.285654,0.15318425,0.8812979,0.34027436,0.32441786,-0.04775557,0.20833333,0.46153846,-0.52,-0.23854943,-0.15967405,0.53948456,12,D2,1,0,g12_D2_t01.mat
0.20001401,-0.29020843,0.28622818,0.15294272,0.88170093,0.3404271,0.32342884,-0.045898963,0.20833333,0.42307693,-0.48,-0.2368041,-0.36125958,0.5054506,12,D2,1,0,g12_D2_t01.mat
0.216682,-0.28921106,0.28609213,0.15316544,0.8840611,0.338479,0.32002774,-0.038082235,0.29166666,0.3846154,-0.44,-0.24378543,-0.766176,0.5455932,12,D2,1,0,g12_D2_t01.mat
0.23334801,-0.2876746,0.2851707,0.15212671,0.88819516,0.33119148,0.31711352,-0.029334784,0.375,0.34615386,-0.36,-0.2882913,-1.036702,0.28466642,12,D2,1,0,g12_D2_t01.mat
0.250018,-0.286496,0.28319004,0.1507721,0.88951296,0.3286249,0.31628388,-0.027145589,0.41666666,0.30769232,-0.32,-0.34239653,-1.1859276,0.24626917,12,D2,1,0,g12_D2_t01.mat
0.26668802,-0.28475267,0.27891153,0.14859484,0.8964433,0.31508055,0.31117877,-0.016775895,0.5416667,0.1923077,-0.2,-0.570162,-1.7243618,0.4504727,12,D2,1,0,g12_D2_t01.mat
0.283356,-0.28301576,0.2736003,0.14626947,0.89927965,0.30970505,0.30858555,-0.01240196,0.5833333,0.1923077,-0.2,-0.72287834,-2.048993,0.6485676,12,D2,1,0,g12_D2_t01.mat
0.30002502,-0.27997518,0.26645482,0.14225008,0.9086501,0.29166368,0.2988056,0.0016179307,0.625,0.30769232,-0.12,-1.1208134,-2.4800894,0.6974368,12,D2,1,0,g12_D2_t01.mat
0.31670603,-0.27710685,0.25684434,0.13781343,0.92102385,0.26539636,0.28487286,0.011280328,0.5833333,0.3846154,0.0,-1.3799948,-2.353553,-0.15951985,12,D2,1,0,g12_D2_t01.mat
0.33337802,-0.27253082,0.24485402,0.13180733,0.932558,0.2397055,0.26954862,0.014846188,0.5416667,0.34615386,0.04,-1.7630947,-2.608371,-0.19791712,12,D2,1,0,g12_D2_t01.mat
0.350028,-0.2668964,0.23131178,0.1256244,0.9362302,0.23133631,0.26395443,0.016870407,0.41666666,0.26923078,0.12,-2.006568,-2.9635456,0.08831688,12,D2,1,0,g12_D2_t01.mat
0.366701,-0.25745708,0.2151615,0.11721657,0.94957215,0.19812149,0.24111423,0.030406324,0.29166666,0.30769232,0.24,-2.3041468,-3.9863086,1.1224245,12,D2,1,0,g12_D2_t01.mat
0.38336402,-0.24849121,0.19746941,0.10968486,0.9634929,0.1537762,0.21261808,0.05317878,0.25,0.5,0.36,-2.3120008,-4.400824,1.3920779,12,D2,1,0,g12_D2_t01.mat
0.40003404,-0.23501298,0.17512806,0.100831024,0.969312,0.13092825,0.19946511,0.05920855,0.375,0.88461536,0.48,-2.199427,-4.1425157,0.0760996,12,D2,1,0,g12_D2_t01.mat
0.41671103,-0.22613364,0.15519395,0.09451618,0.9793583,0.089636296,0.17313401,0.053359482,0.20833333,0.84615386,0.44,-2.459481,-3.389406,-1.2171894,12,D2,1,0,g12_D2_t01.mat
0.43337002,-0.20746696,0.12546176,0.08756182,0.9821407,0.07669198,0.16397382,0.05128809,0.125,0.7307692,0.48,-2.5703094,-3.3928964,-1.0278212,12,D2,1,0,g12_D2_t01.mat
0.45003903,-0.19630997,0.10171705,0.08070266,0.9886206,0.036414728,0.13611686,0.052683223,-0.0,0.65384614,0.56,-2.716917,-4.210583,0.10227951,12,D2,1,0,g12_D2_t01.mat
0.46671504,-0.1741237,0.07036623,0.07770344,0.9923409,-0.011995511,0.10452821,0.06472541,-0.29166666,1.0384616,0.64,-2.933338,-5.095465,0.915603,12,D2,1,0,g12_D2_t01.mat
0.48337603,-0.16140573,0.048661154,0.07590848,0.992265,-0.064231865,0.07348287,0.076712884,-0.5833333,1.5384616,0.64,-2.3905406,-4.8301754,0.51941323,12,D2,1,0,g12_D2_t01.mat
0.500046,-0.13500002,0.0120843155,0.078073606,0.9904379,-0.100043714,0.054956425,0.07748362,-0.6666667,1.7307693,0.6,-1.8756683,-4.2411265,-0.065272085,12,D2,1,0,g12_D2_t01.mat
0.516717,-0.122395754,-0.011514458,0.07866725,0.9898826,-0.108768456,0.05097483,0.07552144,-0.5833333,1.8076923,0.56,-1.2848744,-3.496744,-0.8236177,12,D2,1,0,g12_D2_t01.mat
0.533387,-0.09849936,-0.045886036,0.084351584,0.988548,-0.132772,0.041161824,0.05873839,-0.45833334,1.7692307,0.56,-0.56405336,-2.247088,-2.1439593,12,D2,1,0,g12_D2_t01.mat
0.550052,-0.087136,-0.06865257,0.08684603,0.9868448,-0.15337469,0.032992642,0.039052922,-0.375,1.8461539,0.56,-0.54921806,-1.9870338,-1.4336103,12,D2,1,0,g12_D2_t01.mat
0.566721,-0.072328635,-0.09214648,0.09424191,0.98414826,-0.1725937,0.025484482,0.031847,-0.375,2.2307692,0.6,-0.62601256,-1.9015127,-0.25027698,12,D2,1,0,g12_D2_t01.mat
0.583392,-0.06246167,-0.111333214,0.09891413,0.9821794,-0.18441334,0.020531341,0.029896153,-0.29166666,2.5,0.68,-0.42355436,-0.9503082,-0.11065065,12,D2,1,0,g12_D2_t01.mat
0.600057,-0.05215563,-0.1280674,0.10512249,0.9821952,-0.18525097,0.017876105,0.02559445,-0.20833333,2.5,0.68,-0.3284339,-0.2993004,-0.45971653,12,D2,1,0,g12_D2_t01.mat
0.616764,-0.04408293,-0.14073819,0.11058934,0.98405594,-0.17665657,0.014017838,0.015161614,-0.125,2.4230769,0.68,-0.26734737,0.79851174,-0.9614987,12,D2,1,0,g12_D2_t01.mat
0.633398,-0.036197305,-0.14980806,0.11488266,0.98481405,-0.1727275,0.012392212,0.012365632,0.041666668,2.1153846,0.68,-0.3999924,1.0594385,-0.96237135,12,D2,1,0,g12_D2_t01.mat
0.650065,-0.029188177,-0.15406658,0.11674888,0.98711234,-0.15967023,0.0048657465,0.009535242,0.125,1.9615384,0.68,-0.7708749,1.2051735,-0.31834486,12,D2,1,0,g12_D2_t01.mat
0.6667321,-0.022367353,-0.1530847,0.117032796,0.9890085,-0.14724973,-0.0055392883,0.012207115,0.083333336,1.8461539,0.64,-1.1094687,1.5507487,-0.18395449,12,D2,1,0,g12_D2_t01.mat
0.68340504,-0.015185153,-0.14779656,0.11554965,0.991123,-0.13146785,-0.017073184,0.009996079,0.041666668,1.7307693,0.68,-1.1138321,2.052531,-0.4501172,12,D2,1,0,g12_D2_t01.mat
0.700069,-0.007417954,-0.13978587,0.11371699,0.99271554,-0.117619775,-0.024868887,0.007936983,0.083333336,1.7307693,0.72,-1.0832888,2.2768059,-0.5225484,12,D2,1,0,g12_D2_t01.mat
0.71675307,0.0019509295,-0.12790015,0.109879665,0.9948476,-0.094058305,-0.03729956,0.006337513,0.125,1.6923077,0.76,-1.2508404,2.6878307,-0.43877256,12,D2,1,0,g12_D2_t01.mat
0.73340404,0.0106574595,-0.11428505,0.10698017,0.9953796,-0.086201936,-0.04181848,0.0063197818,0.20833333,1.6153846,0.8,-1.4995499,2.9007611,-0.3471428,12,D2,1,0,g12_D2_t01.mat
0.750075,0.022051826,-0.0952458,0.103589684,0.99661285,-0.05309802,-0.062436357,0.0067068604,0.041666668,1.5,0.8,-1.8800317,3.2602987,-0.19355379,12,D2,1,0,g12_D2_t01.mat
0.76676404,0.030442357,-0.0783634,0.100686245,0.99630624,-0.019156221,-0.083018936,0.010705492,0.041666668,1.4615384,0.8,-2.0275118,3.592784,0.11362417,12,D2,1,0,g12_D2_t01.mat
0.78340906,0.04539488,-0.05127537,0.097785965,0.9959192,-0.008696342,-0.08899331,0.012223838,-0.0,1.3846154,0.76,-2.05631,3.8048415,0.19303665,12,D2,1,0,g12_D2_t01.mat
0.8000811,0.0547684,-0.03082594,0.09746863,0.9930394,0.03357384,-0.111180045,0.019607354,-0.041666668,1.1538461,0.72,-2.1182692,4.3485117,0.37542358,12,D2,1,0,g12_D2_t01.mat
0.81676406,0.07248049,0.0014396211,0.09817824,0.98738587,0.08058739,-0.13411562,0.024245756,-0.0,0.96153843,0.68,-2.248296,4.597221,-0.03385617,12,D2,1,0,g12_D2_t01.mat
0.83341503,0.07973959,0.017073927,0.096107975,0.98495835,0.09544152,-0.14189161,0.024794737,-0.083333336,0.5769231,0.56,-2.3503978,4.4602127,-0.17173718,12,D2,1,0,g12_D2_t01.mat
0.85008603,0.097731926,0.062316004,0.10587781,0.9769295,0.1335665,-0.16446671,0.026822362,-0.16666667,0.3846154,0.36,-2.4114845,3.8737822,0.17471069,12,D2,1,0,g12_D2_t01.mat
0.86675507,0.10466091,0.07868826,0.10715871,0.9769295,0.1335665,-0.16446671,0.026822362,-0.16666667,0.3846154,0.36,-2.4114845,3.8737822,0.17471069,12,D2,1,0,g12_D2_t01.mat
0.883421,0.121678926,0.123094924,0.12112257,0.9769295,0.1335665,-0.16446671,0.026822362,-0.16666667,0.3846154,0.36,-2.4114845,3.8737822,0.17471069,12,D2,1,0,g12_D2_t01.mat
0.900093,0.12891285,0.13834174,0.12656757,0.9769295,0.1335665,-0.16446671,0.026822362,-0.16666667,0.3846154,0.36,-2.4114845,3.8737822,0.17471069,12,D2,1,0,g12_D2_t01.mat
