[BiLSTM]

PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/train_gesture_offline.py --csv 6DMG_VXO.csv --model bilstm
Training & evaluation start.
Label distribution across dataset:
  Label 0: 280
  Label 1: 280
  Label 2: 281
Fold 1 | Iter 7 — Val Loss: 1.0869 | Acc: 0.3314 | F1: 0.1659
Fold 1 | Iter 14 — Val Loss: 1.0586 | Acc: 0.6391 | F1: 0.5841
Fold 1 | Iter 21 — Val Loss: 1.0211 | Acc: 0.9349 | F1: 0.9357
Fold 1 | Iter 28 — Val Loss: 0.9718 | Acc: 0.9408 | F1: 0.9412
Fold 1 | Iter 35 — Val Loss: 0.9040 | Acc: 0.9172 | F1: 0.9180
Fold 1 | Iter 42 — Val Loss: 0.8140 | Acc: 0.8876 | F1: 0.8868
Fold 1 | Iter 49 — Val Loss: 0.7044 | Acc: 0.8462 | F1: 0.8389
Fold 1 | Iter 56 — Val Loss: 0.5913 | Acc: 0.8580 | F1: 0.8525
Fold 1 | Iter 63 — Val Loss: 0.4996 | Acc: 0.8462 | F1: 0.8406
Fold 1 | Iter 70 — Val Loss: 0.4304 | Acc: 0.8757 | F1: 0.8764
Fold 1 | Iter 77 — Val Loss: 0.3660 | Acc: 0.8935 | F1: 0.8950
Fold 1 | Iter 84 — Val Loss: 0.3017 | Acc: 0.9112 | F1: 0.9120
Fold 1 | Iter 91 — Val Loss: 0.2455 | Acc: 0.9467 | F1: 0.9468
Fold 1 | Iter 98 — Val Loss: 0.2061 | Acc: 0.9467 | F1: 0.9469
Fold 1 | Iter 105 — Val Loss: 0.1851 | Acc: 0.9586 | F1: 0.9587
Fold 1 | Iter 112 — Val Loss: 0.1746 | Acc: 0.9349 | F1: 0.9349
Fold 1 | Iter 119 — Val Loss: 0.1582 | Acc: 0.9527 | F1: 0.9528
Fold 1 | Iter 126 — Val Loss: 0.1452 | Acc: 0.9645 | F1: 0.9646
Fold 1 | Iter 133 — Val Loss: 0.1425 | Acc: 0.9467 | F1: 0.9467
Fold 1 | Iter 140 — Val Loss: 0.1277 | Acc: 0.9586 | F1: 0.9586
Fold 1 | Iter 147 — Val Loss: 0.1223 | Acc: 0.9645 | F1: 0.9645
Fold 1 | Iter 154 — Val Loss: 0.1129 | Acc: 0.9704 | F1: 0.9704
Fold 1 | Iter 161 — Val Loss: 0.1058 | Acc: 0.9704 | F1: 0.9704
Fold 1 | Iter 168 — Val Loss: 0.1001 | Acc: 0.9763 | F1: 0.9763
Fold 1 | Iter 175 — Val Loss: 0.0974 | Acc: 0.9645 | F1: 0.9645
Fold 1 | Iter 182 — Val Loss: 0.0881 | Acc: 0.9763 | F1: 0.9762
