[BiLSTM]
PS C:\Capstone\arm-pose-estimation-main> 
& C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_bilstm.pth --model bilstm --output online_gesture_bilstm.pth  --lr 1e-3
==================================================
### 1단계: bilstm 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
  Fold 1 | Epoch 1/25 | Val Loss: 0.3053, Val F1: 0.9165
  Fold 1 | Epoch 2/25 | Val Loss: 0.2964, Val F1: 0.9165
  Fold 1 | Epoch 3/25 | Val Loss: 0.2875, Val F1: 0.9165
  Fold 1 | Epoch 4/25 | Val Loss: 0.2785, Val F1: 0.9165
  Fold 1 | Epoch 5/25 | Val Loss: 0.2703, Val F1: 0.9165
  Fold 1 | Epoch 6/25 | Val Loss: 0.2623, Val F1: 0.9165
  Fold 1 | Epoch 7/25 | Val Loss: 0.2547, Val F1: 0.9165
  Fold 1 | Epoch 8/25 | Val Loss: 0.2480, Val F1: 0.9165
  Fold 1 | Epoch 9/25 | Val Loss: 0.2414, Val F1: 0.9165
  Fold 1 | Epoch 10/25 | Val Loss: 0.2347, Val F1: 0.9165
  Fold 1 | Epoch 11/25 | Val Loss: 0.2287, Val F1: 0.9165
  Fold 1 | Epoch 12/25 | Val Loss: 0.2226, Val F1: 0.9165
  Fold 1 | Epoch 13/25 | Val Loss: 0.2167, Val F1: 0.9165
  Fold 1 | Epoch 14/25 | Val Loss: 0.2116, Val F1: 0.9165
  Fold 1 | Epoch 15/25 | Val Loss: 0.2071, Val F1: 0.9165
  Fold 1 | Epoch 16/25 | Val Loss: 0.2019, Val F1: 0.9165
  Fold 1 | Epoch 17/25 | Val Loss: 0.1967, Val F1: 0.9165
  Fold 1 | Epoch 18/25 | Val Loss: 0.1916, Val F1: 0.9165
  Fold 1 | Epoch 19/25 | Val Loss: 0.1869, Val F1: 0.9165
  Fold 1 | Epoch 20/25 | Val Loss: 0.1823, Val F1: 0.9165
  Fold 1 | Epoch 21/25 | Val Loss: 0.1778, Val F1: 0.9165
  Fold 1 | Epoch 22/25 | Val Loss: 0.1735, Val F1: 0.9165
  Fold 1 | Epoch 23/25 | Val Loss: 0.1693, Val F1: 0.9441
  Fold 1 | Epoch 24/25 | Val Loss: 0.1655, Val F1: 0.9441
  Fold 1 | Epoch 25/25 | Val Loss: 0.1625, Val F1: 0.9441

--- Fold 2/5 ---
  Fold 2 | Epoch 1/25 | Val Loss: 0.4106, Val F1: 0.8230
  Fold 2 | Epoch 2/25 | Val Loss: 0.3999, Val F1: 0.8230
  Fold 2 | Epoch 3/25 | Val Loss: 0.3883, Val F1: 0.8230
  Fold 2 | Epoch 4/25 | Val Loss: 0.3772, Val F1: 0.8230
  Fold 2 | Epoch 5/25 | Val Loss: 0.3661, Val F1: 0.8230
  Fold 2 | Epoch 6/25 | Val Loss: 0.3560, Val F1: 0.8230
  Fold 2 | Epoch 7/25 | Val Loss: 0.3461, Val F1: 0.8550
  Fold 2 | Epoch 8/25 | Val Loss: 0.3371, Val F1: 0.8550
  Fold 2 | Epoch 9/25 | Val Loss: 0.3279, Val F1: 0.8550
  Fold 2 | Epoch 10/25 | Val Loss: 0.3198, Val F1: 0.8550
  Fold 2 | Epoch 11/25 | Val Loss: 0.3128, Val F1: 0.8550
  Fold 2 | Epoch 12/25 | Val Loss: 0.3065, Val F1: 0.8550
  Fold 2 | Epoch 13/25 | Val Loss: 0.3005, Val F1: 0.8550
  Fold 2 | Epoch 14/25 | Val Loss: 0.2942, Val F1: 0.8550
  Fold 2 | Epoch 15/25 | Val Loss: 0.2879, Val F1: 0.8550
  Fold 2 | Epoch 16/25 | Val Loss: 0.2820, Val F1: 0.8550
  Fold 2 | Epoch 17/25 | Val Loss: 0.2757, Val F1: 0.8550
  Fold 2 | Epoch 18/25 | Val Loss: 0.2695, Val F1: 0.8550
  Fold 2 | Epoch 19/25 | Val Loss: 0.2630, Val F1: 0.8550
  Fold 2 | Epoch 20/25 | Val Loss: 0.2566, Val F1: 0.8550
  Fold 2 | Epoch 21/25 | Val Loss: 0.2506, Val F1: 0.8550
  Fold 2 | Epoch 22/25 | Val Loss: 0.2449, Val F1: 0.8550
  Fold 2 | Epoch 23/25 | Val Loss: 0.2384, Val F1: 0.8550
  Fold 2 | Epoch 24/25 | Val Loss: 0.2325, Val F1: 0.8550
  Fold 2 | Epoch 25/25 | Val Loss: 0.2264, Val F1: 0.8550

--- Fold 3/5 ---
  Fold 3 | Epoch 1/25 | Val Loss: 0.3385, Val F1: 0.9134
  Fold 3 | Epoch 2/25 | Val Loss: 0.3264, Val F1: 0.9134
  Fold 3 | Epoch 3/25 | Val Loss: 0.3149, Val F1: 0.9134
  Fold 3 | Epoch 4/25 | Val Loss: 0.3041, Val F1: 0.9430
  Fold 3 | Epoch 5/25 | Val Loss: 0.2947, Val F1: 0.9430
  Fold 3 | Epoch 6/25 | Val Loss: 0.2859, Val F1: 0.9430
  Fold 3 | Epoch 7/25 | Val Loss: 0.2776, Val F1: 0.9430
  Fold 3 | Epoch 8/25 | Val Loss: 0.2693, Val F1: 0.9430
  Fold 3 | Epoch 9/25 | Val Loss: 0.2613, Val F1: 0.9430
  Fold 3 | Epoch 10/25 | Val Loss: 0.2535, Val F1: 0.9430
  Fold 3 | Epoch 11/25 | Val Loss: 0.2458, Val F1: 0.9430
  Fold 3 | Epoch 12/25 | Val Loss: 0.2388, Val F1: 0.9430
  Fold 3 | Epoch 13/25 | Val Loss: 0.2324, Val F1: 0.9430
  Fold 3 | Epoch 14/25 | Val Loss: 0.2253, Val F1: 0.9430
  Fold 3 | Epoch 15/25 | Val Loss: 0.2188, Val F1: 0.9430
  Fold 3 | Epoch 16/25 | Val Loss: 0.2134, Val F1: 0.9430
  Fold 3 | Epoch 17/25 | Val Loss: 0.2079, Val F1: 0.9430
  Fold 3 | Epoch 18/25 | Val Loss: 0.2023, Val F1: 0.9430
  Fold 3 | Epoch 19/25 | Val Loss: 0.1965, Val F1: 0.9722
  Fold 3 | Epoch 20/25 | Val Loss: 0.1911, Val F1: 0.9722
  Fold 3 | Epoch 21/25 | Val Loss: 0.1858, Val F1: 0.9722
  Fold 3 | Epoch 22/25 | Val Loss: 0.1812, Val F1: 0.9722
  Fold 3 | Epoch 23/25 | Val Loss: 0.1766, Val F1: 0.9722
  Fold 3 | Epoch 24/25 | Val Loss: 0.1721, Val F1: 0.9722
  Fold 3 | Epoch 25/25 | Val Loss: 0.1678, Val F1: 0.9722

--- Fold 4/5 ---
  Fold 4 | Epoch 1/25 | Val Loss: 0.3425, Val F1: 0.8309
  Fold 4 | Epoch 2/25 | Val Loss: 0.3411, Val F1: 0.8309
  Fold 4 | Epoch 3/25 | Val Loss: 0.3401, Val F1: 0.8309
  Fold 4 | Epoch 4/25 | Val Loss: 0.3373, Val F1: 0.8309
