[bisltm]
PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_bilstm.pth --model bilstm --output online_gesture_bilstm.pth  --lr 1e-3  
==================================================
### 1단계: bilstm 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
  Fold 1 | Epoch 1/25 | Val Loss: 0.3114, Val F1: 0.8881
  Fold 1 | Epoch 2/25 | Val Loss: 0.3017, Val F1: 0.8881
  Fold 1 | Epoch 3/25 | Val Loss: 0.2922, Val F1: 0.8881
  Fold 1 | Epoch 4/25 | Val Loss: 0.2824, Val F1: 0.9165
  Fold 1 | Epoch 5/25 | Val Loss: 0.2733, Val F1: 0.9165
  Fold 1 | Epoch 6/25 | Val Loss: 0.2646, Val F1: 0.9165
  Fold 1 | Epoch 7/25 | Val Loss: 0.2560, Val F1: 0.9165
  Fold 1 | Epoch 8/25 | Val Loss: 0.2484, Val F1: 0.9165
  Fold 1 | Epoch 9/25 | Val Loss: 0.2411, Val F1: 0.9165
  Fold 1 | Epoch 10/25 | Val Loss: 0.2337, Val F1: 0.9165
  Fold 1 | Epoch 11/25 | Val Loss: 0.2269, Val F1: 0.9165
  Fold 1 | Epoch 12/25 | Val Loss: 0.2200, Val F1: 0.9165
  Fold 1 | Epoch 13/25 | Val Loss: 0.2136, Val F1: 0.9165
  Fold 1 | Epoch 14/25 | Val Loss: 0.2079, Val F1: 0.9165
  Fold 1 | Epoch 15/25 | Val Loss: 0.2025, Val F1: 0.9165
  Fold 1 | Epoch 16/25 | Val Loss: 0.1967, Val F1: 0.9165
  Fold 1 | Epoch 17/25 | Val Loss: 0.1908, Val F1: 0.9165
  Fold 1 | Epoch 18/25 | Val Loss: 0.1853, Val F1: 0.9165
  Fold 1 | Epoch 19/25 | Val Loss: 0.1800, Val F1: 0.9165
