thon312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_bilstm.pth --model bilstm --output online_gesture_bilstm.pth  --lr 1e-3  
==================================================
### 1단계: bilstm 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
  Fold 1 | Epoch 1/25 | Val Loss: 0.1965, Val F1: 0.9153
  Fold 1 | Epoch 2/25 | Val Loss: 0.1807, Val F1: 0.9441
  Fold 1 | Epoch 3/25 | Val Loss: 0.1661, Val F1: 0.9441
  Fold 1 | Epoch 4/25 | Val Loss: 0.1524, Val F1: 0.9441
  Fold 1 | Epoch 5/25 | Val Loss: 0.1409, Val F1: 0.9441
  Fold 1 | Epoch 6/25 | Val Loss: 0.1303, Val F1: 0.9441
  Fold 1 | Epoch 7/25 | Val Loss: 0.1209, Val F1: 0.9722
  Fold 1 | Epoch 8/25 | Val Loss: 0.1130, Val F1: 0.9722
  Fold 1 | Epoch 9/25 | Val Loss: 0.1060, Val F1: 0.9722
  Fold 1 | Epoch 10/25 | Val Loss: 0.0998, Val F1: 0.9722
  Fold 1 | Epoch 11/25 | Val Loss: 0.0945, Val F1: 0.9722
  Fold 1 | Epoch 12/25 | Val Loss: 0.0895, Val F1: 0.9722
  Fold 1 | Epoch 13/25 | Val Loss: 0.0849, Val F1: 0.9722
  Fold 1 | Epoch 14/25 | Val Loss: 0.0813, Val F1: 0.9722
  Fold 1 | Epoch 15/25 | Val Loss: 0.0782, Val F1: 0.9722
  Fold 1 | Epoch 16/25 | Val Loss: 0.0750, Val F1: 1.0000
  Fold 1 | Epoch 17/25 | Val Loss: 0.0717, Val F1: 1.0000
  Fold 1 | Epoch 18/25 | Val Loss: 0.0688, Val F1: 1.0000
  Fold 1 | Epoch 19/25 | Val Loss: 0.0663, Val F1: 1.0000
  Fold 1 | Epoch 20/25 | Val Loss: 0.0640, Val F1: 1.0000
  Fold 1 | Epoch 21/25 | Val Loss: 0.0618, Val F1: 1.0000
  Fold 1 | Epoch 22/25 | Val Loss: 0.0598, Val F1: 1.0000
  Fold 1 | Epoch 23/25 | Val Loss: 0.0580, Val F1: 1.0000
  Fold 1 | Epoch 24/25 | Val Loss: 0.0564, Val F1: 1.0000
  Fold 1 | Epoch 25/25 | Val Loss: 0.0553, Val F1: 1.0000

--- Fold 2/5 ---
  Fold 2 | Epoch 1/25 | Val Loss: 0.2685, Val F1: 0.8550
  Fold 2 | Epoch 2/25 | Val Loss: 0.2523, Val F1: 0.8550
  Fold 2 | Epoch 3/25 | Val Loss: 0.2375, Val F1: 0.8550
  Fold 2 | Epoch 4/25 | Val Loss: 0.2241, Val F1: 0.8861
  Fold 2 | Epoch 5/25 | Val Loss: 0.2122, Val F1: 0.8861
  Fold 2 | Epoch 6/25 | Val Loss: 0.2023, Val F1: 0.8861
  Fold 2 | Epoch 7/25 | Val Loss: 0.1932, Val F1: 0.8861
  Fold 2 | Epoch 8/25 | Val Loss: 0.1854, Val F1: 0.8861
  Fold 2 | Epoch 9/25 | Val Loss: 0.1783, Val F1: 0.8861
  Fold 2 | Epoch 10/25 | Val Loss: 0.1726, Val F1: 0.8861
  Fold 2 | Epoch 11/25 | Val Loss: 0.1674, Val F1: 0.8861
  Fold 2 | Epoch 12/25 | Val Loss: 0.1627, Val F1: 0.8861
  Fold 2 | Epoch 13/25 | Val Loss: 0.1585, Val F1: 0.9165
  Fold 2 | Epoch 14/25 | Val Loss: 0.1546, Val F1: 0.9165
  Fold 2 | Epoch 15/25 | Val Loss: 0.1510, Val F1: 0.9165
  Fold 2 | Epoch 16/25 | Val Loss: 0.1473, Val F1: 0.9165
  Fold 2 | Epoch 17/25 | Val Loss: 0.1441, Val F1: 0.9165
  Fold 2 | Epoch 18/25 | Val Loss: 0.1408, Val F1: 0.9165
  Fold 2 | Epoch 19/25 | Val Loss: 0.1379, Val F1: 0.9165
